pmid,journal,doi,publisher
20671242,Circ Res,10.1161/CIRCRESAHA.109.216127,Ovid Technologies (Wolters Kluwer Health)
17235493,Photosynth Res,10.1007/s11120-006-9104-6,Springer Science and Business Media LLC
25797890,Transl Res,10.1016/j.trsl.2015.02.008,Elsevier BV
32172734,Funct Plant Biol,10.1071/FP18054,CSIRO Publishing
33274189,Front Phys,10.3389/fphy.2020.00196,Frontiers Media SA
32900932,Proc Natl Acad Sci U S A,10.1073/pnas.2013223117,Proceedings of the National Academy of Sciences
23479762,Exp Biol Med (Maywood),10.1258/ebm.2012.012127,Frontiers Media SA
20709422,Eur J Cell Biol,10.1016/j.ejcb.2010.06.009,Elsevier BV
31189654,J Biol Chem,10.1074/jbc.RA119.009035,Elsevier BV
27169352,Biochim Biophys Acta,10.1016/j.bbabio.2016.05.001,Elsevier BV
34257299,Nat Commun,10.1038/s41467-021-24553-3,Springer Science and Business Media LLC
20197044,Biophys J,10.1016/j.bpj.2009.11.018,Elsevier BV
21031485,Protein Sci,10.1002/pro.535,Wiley
27872982,Curr Genet,10.1007/s00294-016-0665-4,Springer Science and Business Media LLC
32275929,Biochim Biophys Acta Bioenerg,10.1016/j.bbabio.2020.148202,Elsevier BV
36926907,Rev Esp Enferm Dig,10.17235/reed.2023.9578/2023,Sociedad Espanola de Patologia Digestiva (SEPD)
17957250,PLoS One,10.1371/journal.pone.0001066,Public Library of Science (PLoS)
22383530,J Biol Chem,10.1074/jbc.M112.341883,Elsevier BV
30611981,Eur J Med Chem,10.1016/j.ejmech.2018.12.062,Elsevier BV
31636464,Nat Immunol,10.1038/s41590-019-0515-x,Springer Science and Business Media LLC
15039088,Methods,10.1016/j.ymeth.2003.10.021,Elsevier BV
16314420,J Biol Chem,10.1074/jbc.M508736200,Elsevier BV
30468788,Behav Brain Res,10.1016/j.bbr.2018.11.031,Elsevier BV
12502561,Ann N Y Acad Sci,10.1111/j.1749-6632.2002.tb04741.x,Wiley
15175283,J Bacteriol,10.1128/JB.186.12.3703-3711.2004,American Society for Microbiology
17487399,Oncol Rep,,
19159910,J Surg Res,10.1016/j.jss.2008.08.001,Elsevier BV
15652523,Exp Eye Res,10.1016/j.exer.2004.08.005,Elsevier BV
37844464,Int Immunopharmacol,10.1016/j.intimp.2023.111043,Elsevier BV
17406340,Nat Protoc,10.1038/nprot.2006.129,Springer Science and Business Media LLC
29773831,Sci Rep,10.1038/s41598-018-26093-1,Springer Science and Business Media LLC
15705590,J Biol Chem,10.1074/jbc.M410903200,Elsevier BV
21811445,Front Syst Neurosci,10.3389/fnsys.2011.00060,Frontiers Media SA
37176009,Int J Mol Sci,10.3390/ijms24098301,MDPI AG
10856879,J Endocrinol,10.1677/joe.0.1660021,Bioscientifica
19272450,Methods,10.1016/j.ymeth.2009.02.022,Elsevier BV
29681477,Curr Biol,10.1016/j.cub.2018.03.025,Elsevier BV
35623230,Eur J Cell Biol,10.1016/j.ejcb.2022.151240,Elsevier BV
26748914,Planta,10.1007/s00425-015-2445-7,Springer Science and Business Media LLC
27225870,J Cell Physiol,10.1002/jcp.25443,Wiley
16676145,Mar Biotechnol (NY),10.1007/s10126-005-5164-4,Springer Science and Business Media LLC
36647612,J Chem Inf Model,10.1021/acs.jcim.2c01309,American Chemical Society (ACS)
21121900,Biochem J,10.1042/BJ20101115,Portland Press Ltd.
12137932,Brain Res,10.1016/s0006-8993(02)02896-2,Elsevier BV
34731414,Drug Deliv Transl Res,10.1007/s13346-021-01086-2,Springer Science and Business Media LLC
32168101,Neuroreport,10.1097/WNR.0000000000001426,Ovid Technologies (Wolters Kluwer Health)
36334872,Mol Cell Proteomics,10.1016/j.mcpro.2022.100439,Elsevier BV
38288833,Curr Cardiol Rev,10.2174/011573403X272750240109052319,Bentham Science Publishers Ltd.
35063482,Int J Biol Macromol,10.1016/j.ijbiomac.2022.01.059,Elsevier BV
25428220,Blood,10.1182/blood-2014-06-582650,American Society of Hematology
15657043,J Biol Chem,10.1074/jbc.M412222200,Elsevier BV
20044836,J Proteome Res,10.1021/pr900338q,American Chemical Society (ACS)
34146438,Mol Microbiol,10.1111/mmi.14773,Wiley
22531627,Biochimie,10.1016/j.biochi.2012.04.011,Elsevier BV
33280960,Food Chem,10.1016/j.foodchem.2020.128569,Elsevier BV
26613512,Int Immunopharmacol,10.1016/j.intimp.2015.11.020,Elsevier BV
34155551,Anal Bioanal Chem,10.1007/s00216-021-03433-1,Springer Science and Business Media LLC
35533581,Bioorg Chem,10.1016/j.bioorg.2022.105850,Elsevier BV
28922514,Oral Dis,10.1111/odi.12780,Wiley
31762411,Physiol Genomics,10.1152/physiolgenomics.00094.2019,American Physiological Society
22665792,Proc Natl Acad Sci U S A,10.1073/pnas.1115063109,Proceedings of the National Academy of Sciences
23428842,J Neural Eng,10.1088/1741-2560/10/2/026007,IOP Publishing
37908731,Theranostics,10.7150/thno.85390,Ivyspring International Publisher
29055716,Exp Neurol,10.1016/j.expneurol.2017.10.016,Elsevier BV
12660155,EMBO J,10.1093/emboj/cdg162,Springer Science and Business Media LLC
12954425,Physiol Behav,10.1016/s0031-9384(03)00205-1,Elsevier BV
