pmid,journal,doi
17406340,Nat Protoc,10.1038/nprot.2006.129
29773831,Sci Rep,10.1038/s41598-018-26093-1
15705590,J Biol Chem,10.1074/jbc.M410903200
21811445,Front Syst Neurosci,10.3389/fnsys.2011.00060
37176009,Int J Mol Sci,10.3390/ijms24098301
10856879,J Endocrinol,10.1677/joe.0.1660021
19272450,Methods,10.1016/j.ymeth.2009.02.022
29681477,Curr Biol,10.1016/j.cub.2018.03.025
35623230,Eur J Cell Biol,10.1016/j.ejcb.2022.151240
26748914,Planta,10.1007/s00425-015-2445-7
27225870,J Cell Physiol,10.1002/jcp.25443
16676145,Mar Biotechnol (NY),10.1007/s10126-005-5164-4
36647612,J Chem Inf Model,10.1021/acs.jcim.2c01309
21121900,Biochem J,10.1042/BJ20101115
12137932,Brain Res,10.1016/s0006-8993(02)02896-2
34731414,Drug Deliv Transl Res,10.1007/s13346-021-01086-2
32168101,Neuroreport,10.1097/WNR.0000000000001426
36334872,Mol Cell Proteomics,10.1016/j.mcpro.2022.100439
38288833,Curr Cardiol Rev,10.2174/011573403X272750240109052319
35063482,Int J Biol Macromol,10.1016/j.ijbiomac.2022.01.059
25428220,Blood,10.1182/blood-2014-06-582650
15657043,J Biol Chem,10.1074/jbc.M412222200
20044836,J Proteome Res,10.1021/pr900338q
34146438,Mol Microbiol,10.1111/mmi.14773
22531627,Biochimie,10.1016/j.biochi.2012.04.011
33280960,Food Chem,10.1016/j.foodchem.2020.128569
26613512,Int Immunopharmacol,10.1016/j.intimp.2015.11.020
34155551,Anal Bioanal Chem,10.1007/s00216-021-03433-1
35533581,Bioorg Chem,10.1016/j.bioorg.2022.105850
28922514,Oral Dis,10.1111/odi.12780
31762411,Physiol Genomics,10.1152/physiolgenomics.00094.2019
22665792,Proc Natl Acad Sci U S A,10.1073/pnas.1115063109
23428842,J Neural Eng,10.1088/1741-2560/10/2/026007
37908731,Theranostics,10.7150/thno.85390
29055716,Exp Neurol,10.1016/j.expneurol.2017.10.016
12660155,EMBO J,10.1093/emboj/cdg162
12954425,Physiol Behav,10.1016/s0031-9384(03)00205-1
33504803,Nat Commun,10.1038/s41467-021-20930-0
15672442,J Neurosci Res,10.1002/jnr.20396
21490275,Sci Transl Med,10.1126/scitranslmed.3001374
11472891,Bone,10.1016/s8756-3282(01)00470-7
31813797,Dev Cell,10.1016/j.devcel.2019.10.025
35421609,Biochim Biophys Acta Proteins Proteom,10.1016/j.bbapap.2022.140781
30293127,Transgenic Res,10.1007/s11248-018-0097-7
29718378,J Infect Dis,10.1093/infdis/jiy250
22031943,J Virol,10.1128/JVI.05354-11
18386936,Nano Lett,10.1021/nl073144l
22549772,J Biol Chem,10.1074/jbc.M112.370387
27510922,Nat Commun,10.1038/ncomms12420
27027998,Cell Cycle,10.1080/15384101.2016.1147631
26771574,Am J Respir Cell Mol Biol,10.1165/rcmb.2015-0219OC
17510231,Endocrinology,10.1210/en.2006-1737
23595672,Met Ions Life Sci,10.1007/978-94-007-5561-1_5
22860026,PLoS One,10.1371/journal.pone.0041897
30272359,Mol Med Rep,10.3892/mmr.2018.9511
10873480,Methods,10.1006/meth.2000.1006
26226135,PLoS One,10.1371/journal.pone.0134425
10683175,Development,10.1242/dev.127.6.1221
33538041,Rapid Commun Mass Spectrom,10.1002/rcm.9063
36750663,Commun Biol,10.1038/s42003-023-04506-w
33718983,Mol Genet Genomics,10.1007/s00438-021-01773-2
18439261,BMC Syst Biol,10.1186/1752-0509-2-38
31964740,mBio,10.1128/mBio.03117-19
12419248,Cell,10.1016/s0092-8674(02)01077-2
28625782,Curr Biol,10.1016/j.cub.2017.05.065
29499565,Redox Biol,10.1016/j.redox.2018.02.016
37857526,J Immunother Cancer,10.1136/jitc-2023-006966
24501395,Database (Oxford),10.1093/database/bat085
26985028,J Neurosci,10.1523/JNEUROSCI.1912-15.2016
29645031,Chem Commun (Camb),10.1039/c8cc01931b
38092323,Genomics,10.1016/j.ygeno.2023.110761
21875596,J Mol Biol,10.1016/j.jmb.2011.08.034
16514659,J Cell Biochem,10.1002/jcb.20869
21569817,Food Chem Toxicol,10.1016/j.fct.2011.04.034
24289149,Vet Dermatol,10.1111/vde.12093
25617208,J Mol Model,10.1007/s00894-014-2556-2
28922415,PLoS Pathog,10.1371/journal.ppat.1006632
26070559,J Biol Chem,10.1074/jbc.M115.637389
29313971,Int J Cancer,10.1002/ijc.31244
26889679,PLoS Biol,10.1371/journal.pbio.1002366
21403644,Lab Invest,10.1038/labinvest.2011.43
17472959,J Biol Chem,10.1074/jbc.M702906200
33872658,Dev Comp Immunol,10.1016/j.dci.2021.104105
12894873,Arch Immunol Ther Exp (Warsz),
33929896,Am J Physiol Heart Circ Physiol,10.1152/ajpheart.00798.2020
30265660,PLoS Genet,10.1371/journal.pgen.1007693
19524299,Mol Immunol,10.1016/j.molimm.2009.04.036
25130703,Int J Med Microbiol,10.1016/j.ijmm.2014.07.007
21968275,Med Hypotheses,10.1016/j.mehy.2011.09.028
